k	L	method	density	density_std	runtime	runtime_std		
50	190	random	0.0140787	0.000170812	0.0344	0.000489898	0	0
50	190	decycling	0.0123182	1.71717E-05	0.5109	0.00353412	0	0
50	190	double	0.0123184	2.19969E-05	0.6637	0.00148661	0	0
50	200	random	0.0133866	0.000576508	0.0343	0.000640312	0	0
50	200	decycling	0.0116035	1.34212E-05	0.5081	0.00266271	0	0
50	200	double	0.0116069	1.66992E-05	0.6637	0.00148661	0	0
50	210	random	0.012335	0.000104692	0.034	6.93889E-18	0	0
50	210	decycling	0.0109835	1.52884E-05	0.5081	0.00266271	0	0
50	210	double	0.0109721	0.000018092	0.6666	0.0012	0	0
50	220	random	0.0116475	0.000106709	0.0341	0.0003	0	0
50	220	decycling	0.0104134	1.57034E-05	0.5094	0.00269072	0	0
50	220	double	0.0104116	1.42732E-05	0.6692	0.00267582	0	0
50	230	random	0.0111347	0.00036225	0.0342	0.0006	0	0
50	230	decycling	0.00989409	1.29833E-05	0.5081	0.00304795	0	0
50	230	double	0.0098853	1.84747E-05	0.6638	0.001249	0	0
50	240	random	0.0105197	0.000359463	0.0343	0.000640312	0	0
50	240	decycling	0.00942213	1.89804E-05	0.508	0.00303315	0	0
50	240	double	0.00943634	1.83852E-05	0.6636	0.0012	0	0
50	250	random	0.0100078	0.000315329	0.0342	0.0006	0	0
50	250	decycling	0.00901364	1.01162E-05	0.5085	0.00294109	0	0
50	250	double	0.00901235	0.000013302	0.6636	0.0012	0	0
50	260	random	0.00944361	5.16205E-05	0.0345	0.0005	0	0
50	260	decycling	0.00863115	0.000010668	0.51	0.0031305	0	0
50	260	double	0.00861778	1.26901E-05	0.6655	0.00168819	0	0
50	270	random	0.00901994	9.10525E-05	0.0345	0.0005	0	0
50	270	decycling	0.00827688	9.37364E-06	0.509	0.00275681	0	0
50	270	double	0.00826293	1.32614E-05	0.6637	0.00126886	0	0
50	280	random	0.00871435	0.000285228	0.0343	0.000640312	0	0
50	280	decycling	0.00793895	1.05667E-05	0.5091	0.00291376	0	0
50	280	double	0.00793357	1.37626E-05	0.6635	0.00120416	0	0
50	290	random	0.00841016	0.0002563	0.0342	0.0004	0	0
50	290	decycling	0.00764091	8.9806E-06	0.5093	0.00306757	0	0
50	290	double	0.00763754	1.31332E-05	0.6638	0.00146969	0	0
50	300	random	0.00805667	0.000267139	0.0342	0.0004	0	0
50	300	decycling	0.00736623	8.3449E-06	0.5084	0.00257682	0	0
50	300	double	0.00736177	1.17861E-05	0.6635	0.00067082	0	0
50	310	random	0.0077552	0.000222445	0.0344	0.000663325	0	0
50	310	decycling	0.00708886	1.13681E-05	0.5158	0.00389358	0	0
50	310	double	0.00709111	1.36739E-05	0.6632	0.00146969	0	0
50	320	random	0.00737373	4.24057E-05	0.0339	0.0003	0	0
50	320	decycling	0.00685274	9.95724E-06	0.508	0.00275681	0	0
50	320	double	0.00685529	7.81827E-06	0.6639	0.00151327	0	0
50	330	random	0.0071211	0.000057502	0.0338	0.0004	0	0
50	330	decycling	0.00662501	1.89692E-05	0.5081	0.00304795	0	0
50	330	double	0.00661686	1.38655E-05	0.6637	0.00148661	0	0
50	340	random	0.00686664	7.32411E-05	0.0334	0.000489898	0	0
50	340	decycling	0.00641543	8.92013E-06	0.5088	0.00348712	0	0
50	340	double	0.00640905	1.36968E-05	0.6636	0.00128062	0	0
50	350	random	0.00672449	0.000239797	0.0341	0.0003	0	0
50	350	decycling	0.00620832	1.74635E-05	0.5081	0.00280891	0	0
50	350	double	0.00621576	1.23332E-05	0.6633	0.00134536	0	0
100	110	random	0.167617	0.00762671	0.3744	0.0048	0	0
100	110	decycling	0.169844	0.00826408	11.6828	0.040664	0	0
100	110	double	0.16791	0.00488041	15.3576	0.047965	0	0
100	120	random	0.0904327	0.0031675	0.3593	0.00555068	0	0
100	120	decycling	0.090382	0.00259016	11.6363	0.00681249	0	0
100	120	double	0.0903153	0.00224138	15.3732	0.233983	0	0
100	130	random	0.0623125	0.00260404	0.3532	0.0046	0	0
100	130	decycling	0.0613688	0.00121984	11.625	0.0333976	0	0
100	130	double	0.0613635	0.00109513	15.3386	0.0244753	0	0
100	140	random	0.0477793	0.00188504	0.3476	0.003747	0	0
100	140	decycling	0.0476845	0.0012911	11.626	0.00705691	0	0
100	140	double	0.0447437	0.000253658	15.311	0.0678602	0	0
100	150	random	0.0383465	0.00121539	0.3462	0.00331059	0	0
100	150	decycling	0.0382593	0.00162876	11.6052	0.00790949	0	0
100	150	double	0.033986	0.000337154	15.2871	0.0399286	0	0
100	160	random	0.0327114	0.00192061	0.346	0.00379473	0	0
100	160	decycling	0.0321835	0.00112878	11.6215	0.00645368	0	0
100	160	double	0.027049	0.000118578	15.2512	0.00302655	0	0
100	170	random	0.0275214	0.000199	0.3372	0.0040694	0	0
100	170	decycling	0.0265401	0.000733735	11.6494	0.0922249	0	0
100	170	double	0.0228128	8.59074E-05	15.2907	0.0664666	0	0
100	180	random	0.0247451	0.00109554	0.3388	0.00698284	0	0
100	180	decycling	0.0222145	0.000547164	11.738	0.273122	0	0
100	180	double	0.0196211	2.99333E-05	15.3165	0.099197	0	0
100	190	random	0.0219889	0.000950904	0.3367	0.00400125	0	0
100	190	decycling	0.0193857	0.00033627	11.6289	0.0763314	0	0
100	190	double	0.0171293	2.16768E-05	15.3184	0.0982255	0	0
100	200	random	0.0201507	0.000902445	0.3378	0.0065238	0	0
100	200	decycling	0.0172264	0.000504492	11.6546	0.0844313	0	0
100	200	double	0.0152422	2.23713E-05	15.247	0.00368782	0	0
