k	L	method	density	density_std	runtime	runtime_std	maxbin	maxbin_std
100	500	random	0.00498183	4.27403E-05	0.6236	0.0621871	401	0
100	500	decycling	0.00451225	9.62688E-06	21.7692	0.0124804	401	0
100	500	double	0.00451004	4.10711E-06	28.7627	0.657717	401	0
50	60	random	0.165881	0.00853923	0.1002	0.00411825	11	0
50	60	decycling	0.163775	0.00413576	0.9987	0.00574543	11	0
50	60	double	0.16649	0.00495362	1.2728	0.00574108	11	0
50	70	random	0.0893154	0.00354614	0.0796	0.00215407	21	0
50	70	decycling	0.090596	0.00347005	0.979	0.00581378	21	0
50	70	double	0.0852822	0.000905358	1.2561	0.00211896	21	0
50	80	random	0.0636836	0.00354903	0.0768	0.00433128	31	0
50	80	decycling	0.0612508	0.00294817	0.9722	0.00315595	31	0
50	80	double	0.0526679	0.00036323	1.2497	0.00968556	31	0
50	90	random	0.0478151	0.00231276	0.0725	0.0015	41	0
50	90	decycling	0.0442574	0.00173884	0.9685	0.00458803	41	0
50	90	double	0.038597	0.00010979	1.244	0.00289828	41	0
50	100	random	0.0378397	0.000418652	0.0697	0.0011	51	0
50	100	decycling	0.0334239	0.000716276	0.9638	0.00183303	51	0
50	100	double	0.0299492	1.86358E-05	1.2434	0.00402989	51	0
50	110	random	0.0325654	0.00114685	0.069	0.00126491	61	0
50	110	decycling	0.0268508	0.000131737	0.9624	0.00241661	61	0
50	110	double	0.0251174	1.98996E-05	1.2408	0.00183303	61	0
50	120	random	0.0274723	0.000200759	0.0684	0.00190788	71	0
50	120	decycling	0.0226784	4.98498E-05	0.9628	0.00493559	71	0
50	120	double	0.021878	0.000019468	1.24	0.00134164	71	0
50	130	random	0.0242058	0.000352537	0.0702	0.00107703	81	0
50	130	decycling	0.0199096	4.77905E-05	0.962	0.00282843	81	0
50	130	double	0.0195592	2.47544E-05	1.2594	0.0297664	81	0
50	140	random	0.022417	0.00132514	0.0679	0.00207123	91	0
50	140	decycling	0.0178929	2.00583E-05	0.9617	0.00219317	91	0
50	140	double	0.0177632	3.13133E-05	1.2424	0.00355528	91	0
50	150	random	0.0196238	0.000719738	0.0661	0.00113578	101	0
50	150	decycling	0.0163732	2.58913E-05	0.962	0.00309839	101	0
50	150	double	0.016298	2.81582E-05	1.2427	0.00426732	101	0
50	160	random	0.017859	0.000289648	0.0665	0.00162788	111	0
50	160	decycling	0.015106	2.85045E-05	0.9606	0.00290517	111	0
50	160	double	0.0150858	2.65585E-05	1.24	0.00109545	111	0
50	170	random	0.0162398	0.000161174	0.0664	0.0032311	121	0
50	170	decycling	0.0140427	1.34387E-05	0.9621	0.0033	121	0
50	170	double	0.0140286	1.63932E-05	1.2405	0.0019105	121	0
50	180	random	0.0150462	0.00017228	0.0655	0.000921954	131	0
50	180	decycling	0.0131132	1.26598E-05	0.9628	0.0040694	131	0
50	180	double	0.0131108	0.000012474	1.2421	0.00364555	131	0
50	190	random	0.0141934	0.000606469	0.0655	0.00128452	141	0
50	190	decycling	0.012306	1.65202E-05	0.9792	0.0348017	141	0
50	190	double	0.0123024	1.19936E-05	1.2478	0.0271028	141	0
50	200	random	0.0132331	0.000421755	0.0652	0.00087178	151	0
50	200	decycling	0.0115935	1.42295E-05	0.9612	0.00285657	151	0
50	200	double	0.0115874	1.24927E-05	1.2492	0.0205222	151	0
50	210	random	0.0122572	0.000112769	0.0647	0.000640312	161	0
50	210	decycling	0.0109584	1.40166E-05	0.9679	0.00246779	161	0
50	210	double	0.0109595	1.37685E-05	1.2417	0.00429069	161	0
50	220	random	0.011784	0.000469787	0.0653	0.00118743	171	0
50	220	decycling	0.0103737	1.06124E-05	0.9609	0.00164012	171	0
50	220	double	0.0103894	1.09401E-05	1.2397	0.0022383	171	0
50	230	random	0.0111025	0.000502443	0.0647	0.00118743	181	0
50	230	decycling	0.00986977	1.34706E-05	0.9607	0.00179165	181	0
50	230	double	0.00986964	1.18716E-05	1.24	0.00272029	181	0
50	240	random	0.0103198	5.61537E-05	0.0641	0.0003	191	0
50	240	decycling	0.00940696	1.42131E-05	0.9627	0.00447325	191	0
50	240	double	0.00940994	7.50223E-06	1.2424	0.00397995	191	0
50	250	random	0.00992191	0.000202148	0.0643	0.000640312	201	0
50	250	decycling	0.00898539	1.28682E-05	0.9604	0.000663325	201	0
50	250	double	0.00899046	9.51465E-06	1.2407	0.00368917	201	0
50	260	random	0.00941909	0.000106006	0.0644	0.0008	211	0
50	260	decycling	0.00859791	7.51829E-06	0.9679	0.0173289	211	0
50	260	double	0.00858926	1.04001E-05	1.2416	0.00440908	211	0
50	270	random	0.00905728	0.000380647	0.0651	0.0022561	221	0
50	270	decycling	0.00825497	1.19561E-05	0.9631	0.00406079	221	0
50	270	double	0.008247	0.000010498	1.2439	0.00786702	221	0
50	280	random	0.00861121	0.00010464	0.0639	0.000830662	231	0
